image_name,tags
test_0,clear primary
test_1,clear primary
test_2,primary partly_cloudy
test_3,clear primary
test_4,primary partly_cloudy
test_5,clear primary
test_6,clear primary agriculture
test_7,clear primary habitation road
test_8,clear primary
test_9,haze primary
test_10,primary partly_cloudy
test_11,clear cultivation primary
test_12,cloudy
test_13,clear primary agriculture
test_14,clear primary
test_15,clear primary
test_16,clear primary agriculture road
test_17,primary partly_cloudy
test_18,haze primary
test_19,clear primary road water
test_20,clear primary agriculture water
test_21,clear primary water
test_22,clear primary agriculture road
test_23,cloudy
test_24,primary agriculture partly_cloudy
test_25,clear primary
test_26,primary agriculture partly_cloudy road
test_27,clear primary agriculture road
test_28,clear primary agriculture road
test_29,clear primary
test_30,primary partly_cloudy
test_31,cloudy
test_32,clear primary
test_33,clear primary agriculture road
test_34,cloudy
test_35,clear primary
test_36,clear primary
test_37,clear primary
test_38,clear primary
test_39,clear primary
test_40,clear primary water
test_41,primary partly_cloudy
test_42,clear primary
test_43,clear primary
test_44,clear primary agriculture
test_45,haze primary agriculture
test_46,haze primary agriculture road
test_47,clear primary
test_48,clear primary
test_49,primary road water
test_50,clear primary
test_51,clear primary agriculture
test_52,clear primary agriculture road
test_53,clear primary agriculture road
test_54,clear primary
test_55,primary partly_cloudy
test_56,clear primary
test_57,clear primary water
test_58,clear primary
test_59,clear primary agriculture road
test_60,clear cultivation primary agriculture
test_61,cloudy
test_62,clear primary agriculture water
test_63,clear primary
test_64,clear primary agriculture
test_65,clear primary
test_66,clear primary
test_67,clear primary agriculture habitation road
test_68,cloudy
test_69,clear primary agriculture
test_70,clear primary
test_71,primary partly_cloudy
test_72,clear primary
test_73,primary agriculture partly_cloudy road
test_74,primary partly_cloudy
test_75,primary agriculture partly_cloudy road
test_76,clear primary
test_77,clear primary
test_78,clear primary
test_79,clear primary agriculture
test_80,haze cloudy
test_81,cloudy
test_82,clear primary agriculture
test_83,clear primary
test_84,clear primary road water
test_85,clear primary agriculture water
test_86,clear primary
test_87,primary partly_cloudy
test_88,clear cultivation primary agriculture
test_89,cloudy
test_90,haze primary
test_91,clear cultivation primary agriculture
test_92,cloudy
test_93,clear primary
test_94,clear primary
test_95,primary agriculture partly_cloudy
test_96,haze primary
test_97,clear primary
test_98,primary partly_cloudy
test_99,cloudy
test_100,clear primary road water
test_101,clear primary agriculture road
test_102,clear primary
test_103,clear primary
test_104,primary partly_cloudy
test_105,clear primary
test_106,haze primary
test_107,clear primary
test_108,primary agriculture partly_cloudy road
test_109,primary agriculture partly_cloudy
test_110,primary partly_cloudy
test_111,primary partly_cloudy
test_112,primary agriculture partly_cloudy
test_113,clear primary
test_114,clear primary agriculture
test_115,clear primary agriculture
test_116,primary partly_cloudy
test_117,primary agriculture partly_cloudy
test_118,clear primary habitation road
test_119,clear primary
test_120,clear primary agriculture
test_121,clear primary
test_122,clear primary
test_123,primary partly_cloudy
test_124,clear primary
test_125,primary partly_cloudy
test_126,clear primary agriculture
test_127,cloudy
test_128,clear primary
test_129,clear primary
test_130,clear primary
test_131,clear primary
test_132,clear primary water
test_133,clear primary agriculture
test_134,clear primary agriculture road
test_135,clear primary agriculture road
test_136,clear primary
test_137,clear cultivation primary agriculture
test_138,primary agriculture partly_cloudy
test_139,clear primary
test_140,clear primary agriculture
test_141,clear primary
test_142,clear primary
test_143,clear primary agriculture road
test_144,clear primary agriculture road
test_145,clear primary agriculture
test_146,clear primary agriculture
test_147,clear cultivation primary
test_148,primary partly_cloudy
test_149,primary partly_cloudy
test_150,clear cultivation primary agriculture
test_151,clear primary water
test_152,clear primary agriculture road water
test_153,clear primary
test_154,clear primary
test_155,clear primary agriculture road
test_156,primary partly_cloudy
test_157,clear primary agriculture road water
test_158,clear primary
test_159,primary partly_cloudy
test_160,clear primary agriculture
test_161,clear primary
test_162,clear
test_163,primary
test_164,haze primary
test_165,haze primary agriculture
test_166,clear primary
test_167,clear primary
test_168,clear primary
test_169,primary partly_cloudy
test_170,primary agriculture partly_cloudy road
test_171,cloudy
test_172,cloudy
test_173,clear primary
test_174,clear primary road water
test_175,clear primary
test_176,primary partly_cloudy
test_177,primary partly_cloudy
test_178,haze primary
test_179,clear primary water
test_180,primary partly_cloudy
test_181,clear primary
test_182,primary partly_cloudy
test_183,haze primary
test_184,clear primary
test_185,primary agriculture
test_186,clear primary agriculture road
test_187,primary agriculture partly_cloudy
test_188,clear primary water
test_189,clear primary agriculture road
test_190,clear primary agriculture
test_191,clear primary
test_192,clear primary
test_193,primary agriculture
test_194,clear primary agriculture habitation road
test_195,clear primary agriculture road
test_196,clear primary
test_197,clear primary
test_198,primary agriculture partly_cloudy road
test_199,clear primary agriculture
test_200,clear primary
test_201,haze primary
test_202,clear primary
test_203,clear primary road water
test_204,clear primary agriculture
test_205,clear primary
test_206,clear primary
test_207,clear haze primary
test_208,
test_209,clear primary
test_210,clear primary
test_211,clear primary agriculture road
test_212,clear primary agriculture road
test_213,clear primary agriculture
test_214,primary partly_cloudy
test_215,clear primary road water
test_216,clear primary
test_217,clear primary
test_218,clear primary agriculture road
test_219,clear primary agriculture
test_220,cloudy
test_221,clear primary agriculture road
test_222,primary cloudy
test_223,clear primary
test_224,clear cultivation primary water
test_225,clear primary
test_226,clear primary
test_227,clear primary water
test_228,clear primary agriculture water
test_229,clear primary agriculture road
test_230,primary agriculture partly_cloudy road
test_231,primary partly_cloudy
test_232,haze primary
test_233,clear primary
test_234,primary partly_cloudy
test_235,clear primary
test_236,clear primary
test_237,primary partly_cloudy
test_238,clear primary agriculture
test_239,clear primary agriculture
test_240,clear primary agriculture road
test_241,primary agriculture partly_cloudy road
test_242,clear cultivation primary agriculture water
test_243,clear primary agriculture habitation road
test_244,clear primary
test_245,clear primary
test_246,clear primary
test_247,clear primary
test_248,clear primary agriculture habitation road
test_249,clear primary agriculture road
test_250,clear primary habitation road
test_251,clear primary habitation road
test_252,clear primary water
test_253,primary partly_cloudy
test_254,clear primary
test_255,clear primary
test_256,clear primary
test_257,clear primary road water
test_258,clear primary
test_259,clear primary water
test_260,clear primary
test_261,clear primary
test_262,clear cultivation primary agriculture
test_263,clear primary agriculture road water
test_264,haze primary
test_265,primary agriculture
test_266,primary agriculture partly_cloudy water
test_267,clear primary
test_268,clear primary agriculture
test_269,clear primary agriculture road
test_270,clear primary water
test_271,clear primary
test_272,clear primary agriculture road
test_273,
test_274,clear primary agriculture road water
test_275,haze primary
test_276,clear primary agriculture road
test_277,haze primary agriculture
test_278,clear primary
test_279,primary partly_cloudy
test_280,primary partly_cloudy
test_281,clear primary agriculture
test_282,clear primary agriculture road
test_283,clear primary
test_284,clear primary
test_285,clear primary agriculture road
test_286,primary partly_cloudy road water
test_287,clear primary agriculture
test_288,clear primary agriculture habitation road
test_289,clear primary water
test_290,clear primary
test_291,clear primary agriculture
test_292,clear primary
test_293,clear primary agriculture road
test_294,clear primary
test_295,clear primary agriculture water
test_296,primary partly_cloudy
test_297,clear cultivation primary
test_298,primary agriculture partly_cloudy
test_299,clear primary
test_300,primary
test_301,clear primary agriculture
test_302,clear primary
test_303,primary partly_cloudy
test_304,clear primary agriculture
test_305,clear primary agriculture road
test_306,clear primary water
test_307,clear primary
test_308,primary partly_cloudy
test_309,clear primary
test_310,haze primary
test_311,clear primary
test_312,clear primary
test_313,clear primary agriculture road
test_314,cloudy
test_315,primary partly_cloudy
test_316,primary
test_317,clear primary
test_318,primary partly_cloudy
test_319,primary partly_cloudy
test_320,clear primary
test_321,clear primary
test_322,clear primary agriculture
test_323,clear primary
test_324,clear primary
test_325,clear primary agriculture road
test_326,clear primary
test_327,clear primary
test_328,clear primary
test_329,clear primary agriculture road
test_330,clear primary
test_331,haze primary agriculture
test_332,clear primary
test_333,primary agriculture partly_cloudy
test_334,primary cloudy
test_335,primary partly_cloudy
test_336,clear primary
test_337,clear primary agriculture road
test_338,clear primary road water
test_339,primary partly_cloudy
test_340,clear primary agriculture
test_341,clear primary agriculture road
test_342,cloudy
test_343,clear primary agriculture road
test_344,clear primary road water
test_345,primary partly_cloudy water
test_346,clear primary
test_347,clear primary water
test_348,clear primary agriculture water
test_349,clear primary agriculture road
test_350,clear primary agriculture road
test_351,clear primary
test_352,clear primary
test_353,cloudy
test_354,clear primary
test_355,clear primary
test_356,clear primary agriculture road
test_357,clear primary
test_358,haze primary
test_359,clear primary road water
test_360,clear primary agriculture
test_361,primary
test_362,clear primary agriculture road
test_363,clear primary agriculture road
test_364,clear primary agriculture
test_365,clear primary
test_366,clear primary agriculture road
test_367,clear primary agriculture
test_368,clear primary
test_369,clear primary agriculture road
test_370,clear primary
test_371,clear primary
test_372,clear primary agriculture road
test_373,cloudy
test_374,haze primary agriculture road water
test_375,primary
test_376,clear primary
test_377,primary partly_cloudy
test_378,primary partly_cloudy
test_379,haze primary
test_380,clear primary agriculture road
test_381,clear primary
test_382,primary partly_cloudy water
test_383,clear primary habitation road
test_384,clear primary
test_385,primary agriculture road
test_386,clear primary
test_387,clear primary
test_388,clear
test_389,haze primary agriculture
test_390,clear primary agriculture road
test_391,clear primary
test_392,primary partly_cloudy
test_393,clear primary agriculture
test_394,clear primary
test_395,clear cultivation primary agriculture habitation road
test_396,clear primary
test_397,clear primary
test_398,clear primary agriculture
test_399,clear primary water
test_400,clear primary
test_401,clear primary
test_402,cloudy
test_403,clear primary
test_404,clear primary agriculture
test_405,clear primary
test_406,haze primary
test_407,clear primary
test_408,clear primary water
test_409,clear primary
test_410,cloudy
test_411,clear primary agriculture road water
test_412,clear cultivation primary agriculture
test_413,clear primary
test_414,cloudy
test_415,clear primary
test_416,clear primary agriculture road
test_417,clear primary road water
test_418,clear primary
test_419,primary partly_cloudy
test_420,clear primary agriculture
test_421,haze primary
test_422,clear primary
test_423,clear primary
test_424,clear primary water
test_425,primary partly_cloudy
test_426,clear primary water
test_427,clear primary agriculture road water
test_428,clear primary agriculture
test_429,primary agriculture partly_cloudy
test_430,clear primary agriculture
test_431,clear primary
test_432,clear primary
test_433,clear primary
test_434,clear primary agriculture
test_435,clear primary agriculture road
test_436,cloudy
test_437,clear primary
test_438,clear primary water
test_439,clear primary agriculture water
test_440,primary agriculture partly_cloudy
test_441,clear primary
test_442,clear primary agriculture
test_443,primary agriculture
test_444,primary agriculture partly_cloudy
test_445,clear primary
test_446,primary
test_447,clear primary
test_448,clear cultivation primary agriculture
test_449,haze cloudy
test_450,primary partly_cloudy
test_451,primary agriculture partly_cloudy
test_452,haze primary
test_453,clear primary
test_454,clear primary
test_455,clear primary
test_456,cloudy
test_457,primary agriculture partly_cloudy
test_458,clear primary agriculture
test_459,clear primary
test_460,clear primary
test_461,clear primary agriculture road
test_462,clear primary
test_463,clear primary
test_464,clear primary
test_465,clear primary agriculture road
test_466,clear cultivation primary agriculture
test_467,haze primary
test_468,clear primary
test_469,clear primary
test_470,clear primary
test_471,clear primary
test_472,primary partly_cloudy
test_473,clear primary agriculture habitation road
test_474,primary partly_cloudy
test_475,clear primary
test_476,cloudy
test_477,clear primary agriculture road
test_478,clear primary agriculture habitation road
test_479,haze primary
test_480,clear cultivation primary agriculture
test_481,clear primary
test_482,clear primary
test_483,primary partly_cloudy
test_484,clear primary water
test_485,clear primary
test_486,clear primary
test_487,primary agriculture partly_cloudy
test_488,clear primary
test_489,clear primary agriculture road water
test_490,clear primary agriculture
test_491,clear primary agriculture road water
test_492,clear primary
test_493,clear primary
test_494,clear primary
test_495,clear primary
test_496,primary partly_cloudy
test_497,clear primary agriculture water
test_498,clear primary
test_499,clear primary
